Freq,Rb87,Rb85
kHz,T,T
175, 0.000036239999999999997, 0.000024024
150, 0.00003119999999999999, 0.000020615999999999994
50, 0.000010463999999999993, 7.032000000000003e-06
100, 0.000020639999999999998, 0.000013944
25, 5.447999999999999e-06, 3.5520000000000006e-06
75, 0.000015624, 0.000010535999999999997
195, 0.000040368, 0.00002711999999999999
125, 0.000025872, 0.000017160000000000002
