Vsweep,uVsweep,Vhoriz,uVhoriz
V,V,V,V
1.3929300000000002,0.012284750709721392,0.04991,5e-05
0.4982500000000001,0.006575522792904001,0.01781,2e-05
0.6257499999999998,0.007703083798064214,0.02264,2e-05
0.9500499999999998,0.008990967689854086,0.03386,2e-05
0.30769999999999986,0.010307036431486996,0.01092,1e-05
0.48299999999999993,0.009369898612044857,0.01741,2e-05
0.7294999999999999,0.008988603896045265,0.02601,2e-05
0.8517499999999999,0.008843500438174926,0.03031,2e-05
0.1621999999999998,0.01082751125605508,0.00579,1e-05
